"PK_DHFF_OISEAUX";"CODE_N2000";"CD_NOM";"CD_REF";"NOM_N2000";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"ANNEXE_I";"ANNEXE_II_A";"ANNEXE_II_B";"ANNEXE_III_A";"ANNEXE_III_B";"COMMENTAIRE"
29,00;"A029";"2508";"2508";"Ardea purpurea";;;"Héron pourpré";"Y";"N";"N";"N";"N";
30,00;"A030";"2514";"2514";"Ciconia nigra";;;"Cigogne noire";"Y";"N";"N";"N";"N";
31,00;"A031";"2517";"2517";"Ciconia ciconia";;;"Cigogne blanche";"Y";"N";"N";"N";"N";
32,00;"A032";"2522";"2522";"Plegadis falcinellus";;;"Ibis falcinelle";"Y";"N";"N";"N";"N";
34,00;"A034";"2530";"2530";"Platalea leucorodia";;;"Spatule blanche";"Y";"N";"N";"N";"N";
35,00;"A035";"2694";"199335";"Phoenicopterus ruber";;;"Flamant rose";"Y";"N";"N";"N";"N";
36,00;"A036";"2706";"2706";"Cygnus olor";;;"Cygne tuberculé";"N";"N";"Y";"N";"N";
37,00;"A037";"2709";"2709";"Cygnus columbianus bewickii";;;"Cygne de Bewick";"Y";"N";"N";"N";"N";
38,00;"A038";"2715";"2715";"Cygnus cygnus";;;"Cygne chanteur";"Y";"N";"N";"N";"N";
39,00;"A039";"2720";"2720";"Anser fabalis";;;"Oie des moissons";"N";"Y";"N";"N";"N";
41,00;"A041";"2734";"2734";"Anser albifrons";;;"Oie rieuse";"N";"N";"Y";"N";"N";
43,00;"A043";"2741";"2741";"Anser anser";;;"Oie cendrée";"N";"Y";"N";"N";"Y";
45,00;"A045";"2750";"2750";"Branta leucopsis";;;"Bernache nonnette";"Y";"N";"N";"N";"N";
46,00;"A046";"2757";"2757";"Branta bernicla";;;"Bernache cravant";"N";"N";"Y";"N";"N";
47,00;"A048";"2767";"2767";"Tadorna tadorna";;;"Tadorne de Belon";"N";"N";"N";"N";"N";
48,00;"A050";"1950";"1952";"Anas penelope";;;"Canard siffleur";"N";"Y";"N";"N";"Y";
49,00;"A051";"1956";"836203";"Anas strepera";;;"Canard chipeau";"N";"Y";"N";"N";"N";
50,00;"A052";"1958";"1958";"Anas crecca";;;"Sarcelle d'hiver";"N";"Y";"N";"N";"Y";
51,00;"A053";"1966";"1966";"Anas platyrhynchos";;;"Canard colvert";"N";"Y";"N";"Y";"N";
52,00;"A054";"1973";"1973";"Anas acuta";;;"Canard pilet";"N";"Y";"N";"N";"Y";
53,00;"A055";"1975";"836222";"Anas querquedula";;;"Sarcelle d'été";"N";"Y";"N";"N";"N";
54,00;"A056";"1970";"1972";"Anas clypeata";;;"Canard souchet";"N";"Y";"N";"N";"Y";
56,00;"A058";"1984";"1984";"Netta rufina";;;"Nette rousse";"N";"N";"Y";"N";"N";
57,00;"A059";"1991";"1991";"Aythya ferina";;;"Fuligule milouin";"N";"Y";"N";"N";"Y";
58,00;"A060";"1995";"1995";"Aythya nyroca";;;"Fuligule nyroca";"Y";"N";"N";"N";"N";
59,00;"A061";"1998";"1998";"Aythya fuligula";;;"Fuligule morillon";"N";"Y";"N";"N";"Y";
60,00;"A062";"2001";"2001";"Aythya marila";;;"Fuligule milouinan";"N";"N";"Y";"N";"Y";
