"PK_DHFF_ESPECE";"CODE_N2000";"CD_NOM";"CD_REF";"ST_TAXON";"NOM_EVAL_2013";"LB_NOM";"LB_AUTEUR";"NOM_VERN";"NIV_TAX";"PRIORITAIRE";"ANNEXE_II";"ANNEXE_IV";"ANNEXE_V";"ALP";"ATL";"CON";"MED";"MATL";"MMED";"TERRE";"MER";"COMMENTAIRE";"NOM_DIRECTIVE"
135,00;"1321";"60400";"60400";"NV";"Myotis emarginatus";"Myotis emarginatus";"(E. Geoffroy, 1806)";"Vespertilion à oreilles échancrées";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Myotis emarginatus"
137,00;"1323";"79301";"79301";"NV";"Myotis bechsteinii";"Myotis bechsteinii";"(Kuhl, 1817)";"Vespertilion de Bechstein";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Myotis bechsteinii"
138,00;"1324";"60418";"60418";"NV";"Myotis myotis";"Myotis myotis";"(Borkhausen, 1797)";"Grand Murin";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Myotis myotis"
148,00;"1337";"61212";"61212";"NV";"Castor fiber";"Castor fiber";"Linnaeus, 1758";"Castor d'Eurasie";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";;"Castor fiber"
152,00;"1349";"60927";"60927";"NV";"Tursiops truncatus";"Tursiops truncatus";"(Montagu, 1821)";"Grand Dauphin";"Mammifères";"false";"Y";"Y";"N";;;;;1,00;1,00;"false";"true";;"Tursiops truncatus"
154,00;"1351";"60939";"60939";"NV";"Phocoena phocoena";"Phocoena phocoena";"(Linnaeus, 1758)";"Marsouin commun";"Mammifères";"false";"Y";"Y";"N";;;;;1,00;;"false";"true";;"Phocoena phocoena"
155,00;"1352";"60577";"60577";"NV";"Canis lupus";"Canis lupus";"Linnaeus, 1758";"Loup gris";"Mammifères";"true";"Y";"Y";"N";1,00;;1,00;;;;"true";"false";;"Canis lupus"
156,00;"1354";"60826";"60826";"NV";"Ursus arctos";"Ursus arctos";"Linnaeus, 1758";"Ours brun";"Mammifères";"true";"Y";"Y";"N";1,00;;;;;;"true";"false";;"Ursus arctos"
157,00;"1355";"60630";"60630";"NV";"Lutra lutra";"Lutra lutra";"(Linnaeus, 1758)";"Loutre d'Europe";"Mammifères";"false";"Y";"Y";"N";1,00;1,00;1,00;1,00;;;"true";"false";"Ajout Alpin";"Lutra lutra"
158,00;"1356";"60704";"60704";"NV";"Mustela lutreola";"Mustela lutreola";"(Linnaeus, 1761)";"Vison d'Europe";"Mammifères";"true";"Y";"Y";"N";;1,00;;;;;"true";"false";"Prioritaire suite à  l'élargissement de l'UE";"Mustela lutreola"
