"FPK_NATURA";"SITECODE";"CD_INSEE";"NUTS";"LB_ADM";"CD_INSEE_REG_NEW";"LB_REG_NEW"
7903,00;"FR9112013";"93";"FR82";"PROVENCE-ALPES-COTE-D'AZUR";"93";"Provence-Alpes-Côte-d'Azur"
7904,00;"FR9112014";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7905,00;"FR9112015";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7906,00;"FR9112016";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7907,00;"FR9112017";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7908,00;"FR9112018";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7909,00;"FR9112019";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7910,00;"FR9112021";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7911,00;"FR9112022";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7912,00;"FR9112023";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7913,00;"FR9112024";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7914,00;"FR9112027";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7915,00;"FR9112028";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7916,00;"FR9112029";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7917,00;"FR9112030";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7918,00;"FR9112031";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7919,00;"FR9112032";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7920,00;"FR9112033";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7921,00;"FR9112037";"91";"FR81";"LANGUEDOC-ROUSSILLON";"76";"Occitanie"
7922,00;"FR1100810";"11";"FR10";"ILE-DE-FRANCE";"11";"Ile-de-France"
7923,00;"FR2100247";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
7924,00;"FR2100290";"21";"FR21";"CHAMPAGNE-ARDENNE";"44";"Grand-Est"
