"PK_OWNERSHIP";"FPK_NATURA";"SITECODE";"TYPE";"LB_STPRO";"COVER"
"11968";"7010";"FR9400594";"10";"Etablissement public";"7,8"
"11969";"7011";"FR9400595";"01";"Propriété privée (personne physique)";"68"
"11970";"7011";"FR9400595";"20";"Collectivité territoriale";"29"
"11976";"7014";"FR9400612";"01";"Propriété privée (personne physique)";
"11977";"7015";"FR9400614";"01";"Propriété privée (personne physique)";
"11978";"7016";"FR9400616";"01";"Propriété privée (personne physique)";
"11980";"7018";"FR9402004";"01";"Propriété privée (personne physique)";"20"
"11981";"7018";"FR9402004";"30";"Domaine communal";"80"
"11982";"7019";"FR9402009";"01";"Propriété privée (personne physique)";
"11988";"7024";"FR9412011";"62";"Domaine public de l'état";"100"
"12179";"7128";"FR1100795";"01";"Propriété privée (personne physique)";"30"
"12180";"7128";"FR1100795";"62";"Domaine public de l'état";"70"
"12181";"7129";"FR1100796";"62";"Domaine public de l'état";"100"
"12184";"7131";"FR2100255";"01";"Propriété privée (personne physique)";
"12185";"7131";"FR2100255";"61";"Domaine privé de l'état";"95,7"
"12187";"7133";"FR2100258";"61";"Domaine privé de l'état";"100"
"12190";"7135";"FR2100288";"01";"Propriété privée (personne physique)";
"12202";"7142";"FR2100323";"01";"Propriété privée (personne physique)";
"12203";"7142";"FR2100323";"05";"Propriété d'une association, groupement ou société";
"12209";"7150";"FR2300146";"01";"Propriété privée (personne physique)";"100"
"12220";"7168";"FR2612001";"01";"Propriété privée (personne physique)";
"12221";"7168";"FR2612001";"20";"Collectivité territoriale";
"12222";"7168";"FR2612001";"60";"Domaine de l'état";
"12227";"7170";"FR2612003";"01";"Propriété privée (personne physique)";
"12228";"7170";"FR2612003";"20";"Collectivité territoriale";
"12229";"7170";"FR2612003";"60";"Domaine de l'état";
"12230";"7171";"FR2612005";"01";"Propriété privée (personne physique)";
"12231";"7171";"FR2612005";"20";"Collectivité territoriale";
"12232";"7171";"FR2612005";"60";"Domaine de l'état";
"12233";"7172";"FR2612006";"01";"Propriété privée (personne physique)";
"12234";"7172";"FR2612006";"60";"Domaine de l'état";
"12235";"7173";"FR2612007";"01";"Propriété privée (personne physique)";
"12236";"7173";"FR2612007";"20";"Collectivité territoriale";
"12237";"7173";"FR2612007";"60";"Domaine de l'état";
"12238";"7174";"FR2612009";"01";"Propriété privée (personne physique)";
"12239";"7174";"FR2612009";"30";"Domaine communal";
"12240";"7174";"FR2612009";"61";"Domaine privé de l'état";
"12247";"7176";"FR4100230";"01";"Propriété privée (personne physique)";
"12248";"7176";"FR4100230";"05";"Propriété d'une association, groupement ou société";
"12249";"7176";"FR4100230";"20";"Collectivité territoriale";
"12250";"7176";"FR4100230";"50";"Domaine régional";
"12251";"7177";"FR4102002";"01";"Propriété privée (personne physique)";
"12252";"7177";"FR4102002";"32";"Domaine public communal";
"12253";"7178";"FR4310027";"60";"Domaine de l'état";"15"
"12256";"7180";"FR4312001";"01";"Propriété privée (personne physique)";
"12257";"7180";"FR4312001";"05";"Propriété d'une association, groupement ou société";
"12258";"7180";"FR4312001";"20";"Collectivité territoriale";
"12259";"7180";"FR4312001";"60";"Domaine de l'état";
"12260";"7181";"FR4312002";"01";"Propriété privée (personne physique)";"13"
"12261";"7181";"FR4312002";"30";"Domaine communal";"87"
"12262";"7181";"FR4312002";"60";"Domaine de l'état";"0"
"12263";"7182";"FR4312003";"01";"Propriété privée (personne physique)";"53"
"12264";"7182";"FR4312003";"30";"Domaine communal";"47"
"12265";"7182";"FR4312003";"60";"Domaine de l'état";"0"
"12266";"7183";"FR4312004";"01";"Propriété privée (personne physique)";"12"
"12267";"7183";"FR4312004";"30";"Domaine communal";"18"
"12268";"7183";"FR4312004";"60";"Domaine de l'état";"70"
"12272";"7185";"FR4312006";"01";"Propriété privée (personne physique)";
"12273";"7185";"FR4312006";"10";"Etablissement public";
"12274";"7185";"FR4312006";"30";"Domaine communal";
"12275";"7186";"FR4312007";"01";"Propriété privée (personne physique)";
"12276";"7186";"FR4312007";"10";"Etablissement public";
"12277";"7186";"FR4312007";"30";"Domaine communal";
"12278";"7187";"FR4312008";"60";"Domaine de l'état";"7,5"
"12279";"7187";"FR4312008";"30";"Domaine communal";"37,6"
"12280";"7187";"FR4312008";"00";"Indéterminé";"54,9"
"12284";"7189";"FR4312010";"01";"Propriété privée (personne physique)";
"12285";"7189";"FR4312010";"05";"Propriété d'une association, groupement ou société";
"12286";"7189";"FR4312010";"20";"Collectivité territoriale";
"12287";"7189";"FR4312010";"61";"Domaine privé de l'état";
"12288";"7190";"FR4312012";"01";"Propriété privée (personne physique)";
"12289";"7190";"FR4312012";"30";"Domaine communal";"13"
"12290";"7190";"FR4312012";"50";"Domaine régional";
"12291";"7190";"FR4312012";"60";"Domaine de l'état";"0"
"12292";"7191";"FR4312013";"01";"Propriété privée (personne physique)";
"12293";"7191";"FR4312013";"30";"Domaine communal";
"12294";"7191";"FR4312013";"60";"Domaine de l'état";
"12295";"7192";"FR4312014";"01";"Propriété privée (personne physique)";"94"
"12296";"7192";"FR4312014";"30";"Domaine communal";"6"
"12297";"7192";"FR4312014";"60";"Domaine de l'état";"0"
"12298";"7193";"FR4312015";"01";"Propriété privée (personne physique)";
"12299";"7193";"FR4312015";"05";"Propriété d'une association, groupement ou société";
"12300";"7193";"FR4312015";"60";"Domaine de l'état";
"12301";"7194";"FR4312016";"01";"Propriété privée (personne physique)";"68"
"12302";"7194";"FR4312016";"30";"Domaine communal";"32"
"12303";"7194";"FR4312016";"60";"Domaine de l'état";"0"
"12309";"7196";"FR4312018";"01";"Propriété privée (personne physique)";"100"
"12310";"7196";"FR4312018";"05";"Propriété d'une association, groupement ou société";
"12311";"7196";"FR4312018";"30";"Domaine communal";"0"
"12312";"7196";"FR4312018";"60";"Domaine de l'état";"0"
"12313";"7197";"FR4312019";"01";"Propriété privée (personne physique)";
"12314";"7197";"FR4312019";"05";"Propriété d'une association, groupement ou société";
"12315";"7197";"FR4312019";"20";"Collectivité territoriale";
"12316";"7197";"FR4312019";"60";"Domaine de l'état";
"12317";"7198";"FR4312020";"01";"Propriété privée (personne physique)";"100"
